,NA_CCM0535_Ct_inor,NA_CCM2292_Ct_inor,NA_CCM2518_Ct_vert,NA_CCM2565_Ct_vert,NA_CCM3869_Ct_inor,NTMR_25983_Ct_spal,SAMAR_34180_Ct_bore,SAMR_38776_Ct_saxa,SAMR_53975_Ct_saxa,UMMZ_242624_Ct_inor,UMMZ_242629_Ct_inor,UMMZ_242630_Ct_inor,WAMR_108698_Ct_saxa,WAMR_108745_Ct_saxa,WAMR_108816_Ct_saxa,WAMR_132522_Ct_saxa,WAMR_132682_Ct_saxa,WAMR_132686_Ct_saxa,WAMR_132723_Ct_saxa,WAMR_139005_Ct_saxa,WAMR_153812_Ct_saxa
NA_CCM0535_Ct_inor,NA,442.147034367528,985.254789381914,1193.23342226071,1144.80478685233,190.475720237515,450.868051651478,1929.85880312524,2671.64724467883,491.450913113405,1720.06598710631,1720.06598710631,725.872578349671,677.202333132425,1233.7171474856,660.089387886217,1671.64769015484,1634.0116278656,1136.13071431064,1070.24623335006,615.470551691955
NA_CCM2292_Ct_inor,442.147034367528,NA,553,762.977063875448,708.94992770999,628.387619228769,889.783119642084,2358.81177714543,3095.08335913591,932.50737262501,2149.74998546343,2149.74998546343,1167.47805118555,1110.90818702537,1675.66524103116,1070.80810605822,2108.43401604129,2070.62454346509,1578.15303440446,1512.16566552742,970.922241994692
NA_CCM2518_Ct_vert,985.254789381914,553,NA,210.259363644048,344.747733857672,1174.93999846801,1420.15597734897,2855.86449258364,3577.79596958798,1466.26566487796,2649.51504996669,2649.51504996669,1700.97736610456,1629.22926563452,2210.58024057033,1623.66037089041,2623.00457491023,2584.99110249919,2113.44505488077,2046.36604741185,1516.68091568398
NA_CCM2565_Ct_vert,1193.23342226071,762.977063875448,210.259363644048,NA,371.362356735305,1383.27835232104,1624.17178894352,3047.21167627062,3763.29921744206,1671.075701457,2842.13141849563,2842.13141849563,1905.28134405394,1829.68549209967,2414.55544562555,1833.70390194273,2820.25176181135,2782.22680599551,2317.64729844729,2250.33130894097,1725.83718814957
NA_CCM3869_Ct_inor,1144.80478685233,708.94992770999,344.747733857672,371.362356735305,NA,1323.40961157156,1595.33444769428,3067.7172294721,3803.09755331098,1635.80866851842,2858.6481070604,2858.6481070604,1869.568666832,1818.98735564599,2374.46330778136,1725.53180208306,2815.7894097393,2778.07055345972,2277.04172118123,2212.19280353228,1581.37598312356
NTMR_25983_Ct_spal,190.475720237515,628.387619228769,1174.93999846801,1383.27835232104,1323.40961157156,NA,287.055743715398,1767.08856597512,2512.62014638106,319.156701323973,1557.2083996691,1557.2083996691,547.93065254647,518.370523853353,1051.17410546493,477.044023125749,1500.06633186669,1462.77852048764,953.669754160212,888.829567464989,467.417372377194
SAMAR_34180_Ct_bore,450.868051651478,889.783119642084,1420.15597734897,1624.17178894352,1595.33444769428,287.055743715398,NA,1482.54544618369,2226.99057025395,59.7159945073345,1272.72660064917,1272.72660064917,282.317197492466,232.023705685432,790.749012013294,406.147756364602,1221.13963165561,1183.51679329023,693.731215961917,626.585189738794,525.450283090608
SAMR_38776_Ct_saxa,1929.85880312524,2358.81177714543,2855.86449258364,3047.21167627062,3067.7172294721,1767.08856597512,1482.54544618369,NA,748.391608718323,1449.39125152596,210.276009092811,210.276009092811,1229.03295317904,1253.0450909684,797.90663614235,1518.54897846596,310.816666219815,338.822962622075,878.082000726584,925.403695691778,1735.84129458888
SAMR_53975_Ct_saxa,2671.64724467883,3095.08335913591,3577.79596958798,3763.29921744206,3803.09755331098,2512.62014638106,2226.99057025395,748.391608718323,NA,2195.52704378698,957.401692081229,957.401692081229,1977.15452102257,1996.48791631705,1534.66771647807,2261.07341764924,1042.67588444348,1076.07016499855,1620.05740639028,1670.58971623795,2476.51630319689
UMMZ_242624_Ct_inor,491.450913113405,932.50737262501,1466.26566487796,1671.075701457,1635.80866851842,319.156701323973,59.7159945073345,1449.39125152596,2195.52704378698,NA,1239.4188154131,1239.4188154131,235.633189512853,207.506626400219,745.848510087672,368.800759218307,1183.17116259652,1145.73208037481,648.222955471341,581.514402229214,504.899990097049
UMMZ_242629_Ct_inor,1720.06598710631,2149.74998546343,2649.51504996669,2842.13141849563,2858.6481070604,1557.2083996691,1272.72660064917,210.276009092811,957.401692081229,1239.4188154131,NA,0,1019.92646793776,1043.16154070211,606.480832343447,1317.4926944769,163.422764632104,171.851680236185,680.138221246241,723.383715603275,1535.88834229575
UMMZ_242630_Ct_inor,1720.06598710631,2149.74998546343,2649.51504996669,2842.13141849563,2858.6481070604,1557.2083996691,1272.72660064917,210.276009092811,957.401692081229,1239.4188154131,0,NA,1019.92646793776,1043.16154070211,606.480832343447,1317.4926944769,163.422764632104,171.851680236185,680.138221246241,723.383715603275,1535.88834229575
WAMR_108698_Ct_saxa,725.872578349671,1167.47805118555,1700.97736610456,1905.28134405394,1869.568666832,547.93065254647,282.317197492466,1229.03295317904,1977.15452102257,235.633189512853,1019.92646793776,1019.92646793776,NA,140.939703419583,510.561455654459,382.310083570915,953.964884049722,916.946563328529,413.025422946336,346.072246792487,585.806281973828
WAMR_108745_Ct_saxa,677.202333132425,1110.90818702537,1629.22926563452,1829.68549209967,1818.98735564599,518.370523853353,232.023705685432,1253.0450909684,1996.48791631705,207.506626400219,1043.16154070211,1043.16154070211,140.939703419583,NA,596.480510997635,482.34945838054,998.016532929189,960.126554158357,503.187837690857,435.428524559428,664.4343458913
WAMR_108816_Ct_saxa,1233.7171474856,1675.66524103116,2210.58024057033,2414.55544562555,2374.46330778136,1051.17410546493,790.749012013294,797.90663614235,1534.66771647807,745.848510087672,606.480832343447,606.480832343447,510.561455654459,596.480510997635,NA,728.310373398594,492.668245374106,460.603951350832,98.0051019080129,164.605589212517,942.642031738454
WAMR_132522_Ct_saxa,660.089387886217,1070.80810605822,1623.66037089041,1833.70390194273,1725.53180208306,477.044023125749,406.147756364602,1518.54897846596,2261.07341764924,368.800759218307,1317.4926944769,1317.4926944769,382.310083570915,482.34945838054,728.310373398594,NA,1219.23992716774,1185.66943116536,641.679826704876,594.312207513862,219.704346793594
WAMR_132682_Ct_saxa,1671.64769015484,2108.43401604129,2623.00457491023,2820.25176181135,2815.7894097393,1500.06633186669,1221.13963165561,310.816666219815,1042.67588444348,1183.17116259652,163.422764632104,163.422764632104,953.964884049722,998.016532929189,492.668245374106,1219.23992716774,NA,38.0788655293195,578.025085960808,630.925510658746,1434.83448522817
WAMR_132686_Ct_saxa,1634.0116278656,2070.62454346509,2584.99110249919,2782.22680599551,2778.07055345972,1462.77852048764,1183.51679329023,338.822962622075,1076.07016499855,1145.73208037481,171.851680236185,171.851680236185,916.946563328529,960.126554158357,460.603951350832,1185.66943116536,38.0788655293195,NA,544.164497188121,595.876665091024,1401.79955771144
WAMR_132723_Ct_saxa,1136.13071431064,1578.15303440446,2113.44505488077,2317.64729844729,2277.04172118123,953.669754160212,693.731215961917,878.082000726584,1620.05740639028,648.222955471341,680.138221246241,680.138221246241,413.025422946336,503.187837690857,98.0051019080129,641.679826704876,578.025085960808,544.164497188121,NA,68.0294054067798,858.50509608272
WAMR_139005_Ct_saxa,1070.24623335006,1512.16566552742,2046.36604741185,2250.33130894097,2212.19280353228,888.829567464989,626.585189738794,925.403695691778,1670.58971623795,581.514402229214,723.383715603275,723.383715603275,346.072246792487,435.428524559428,164.605589212517,594.312207513862,630.925510658746,595.876665091024,68.0294054067798,NA,812.972939279039
WAMR_153812_Ct_saxa,615.470551691955,970.922241994692,1516.68091568398,1725.83718814957,1581.37598312356,467.417372377194,525.450283090608,1735.84129458888,2476.51630319689,504.899990097049,1535.88834229575,1535.88834229575,585.806281973828,664.4343458913,942.642031738454,219.704346793594,1434.83448522817,1401.79955771144,858.50509608272,812.972939279039,NA
