,CUMV_1450314572_Ct_pant,CUMV_14516_Ct_pant,CUMV_14517_Ct_pant,CUMV_14525_Ct_pant,CUMV_14526_Ct_pant,CUMV_14527_Ct_pant,CUMV_14559_Ct_pant,CUMV_14567_Ct_pant,CUMV_14570_Ct_pant,CUMV_1457314504_Ct_pant,NA_CCM1889_Ct_pant,NA_CCM2756_Ct_pant,QM_62378_Ct_pant,SAMR_42153_Ct_pant,SAMR_44378_Ct_pant,SAMR_44860_Ct_pant,SAMR_45310_Ct_pant,SAMR_45528_Ct_pant,UMMZ_242633_Ct_pant,UMMZ_242634_Ct_pant,UMMZ_242638_Ct_pant,UMMZ_242639_Ct_pant,WAMR_108704_Ct_pant,WAMR_119962_Ct_pant,WAMR_129885_Ct_pant,WAMR_131057_Ct_pant,WAMR_139092_Ct_pant,WAMR_140704_Ct_pant
CUMV_1450314572_Ct_pant,NA,0.454095409540954,0.450571895424837,0.415365132967497,0.437215084956486,0.494400663625052,0.382924767540152,0.443873179091688,0.377272727272727,0.378754897692643,0.568101933216169,0.571936056838366,0.614117647058824,0.752747252747253,0.470061099796334,0.556187144731089,0.843037974683544,0.614960991280404,0.664732142857143,0.699900793650794,0.598294647086689,0.56945064761054,0.594739188586714,0.447072738024837,0.482902418682235,0.548071387449626,0.624148887880163,0.578924355050284
CUMV_14516_Ct_pant,0.454095409540954,NA,0.363484087102178,0.364601018675722,0.393864013266998,0.424813678211311,0.430308293530178,0.457841483979764,0.43244289585753,0.409275101305718,0.520861989912884,0.603747714808044,0.661136249371544,0.801546391752577,0.428571428571429,0.483440662373505,0.735966735966736,0.59990157480315,0.65275846082522,0.659939455095863,0.607833655705996,0.619336758524054,0.620028076743098,0.469411764705882,0.54054054054054,0.544252873563218,0.600282485875706,0.58414526129318
CUMV_14517_Ct_pant,0.450571895424837,0.363484087102178,NA,0.37826420890937,0.412613981762918,0.451095461658842,0.421776729559748,0.428516228748068,0.436491228070175,0.421274799493457,0.537766830870279,0.595189563799429,0.667410714285714,0.845609065155807,0.433421350433799,0.48599269183922,0.757122839794489,0.586475942782835,0.675,0.708059981255857,0.648541114058355,0.599078341013825,0.661777032690696,0.436416184971098,0.483087942697971,0.524383848977451,0.625262274443978,0.600081366965012
CUMV_14525_Ct_pant,0.415365132967497,0.364601018675722,0.37826420890937,NA,0.372163388804841,0.398562300319489,0.424950495049505,0.408307210031348,0.410348544735896,0.41,0.527379949452401,0.583786042624321,0.637837837837838,0.810926365795725,0.403683806600153,0.533721898417985,0.7143536121673,0.525446428571429,0.648637137989779,0.687140115163148,0.584074733096085,0.606387570133794,0.599154334038055,0.442477876106195,0.470899470899471,0.468684759916493,0.591801878736123,0.560390402602684
CUMV_14526_Ct_pant,0.437215084956486,0.393864013266998,0.412613981762918,0.372163388804841,NA,0.433070866141732,0.403950426026336,0.467704280155642,0.430294430649166,0.414889167712254,0.577759197324415,0.592153657539845,0.650224215246637,0.764128911723494,0.432432432432432,0.503072511265875,0.774102079395085,0.569878472222222,0.68046357615894,0.687823225199812,0.587412587412587,0.594190516873131,0.616798997074801,0.461807580174927,0.457840819542947,0.522210743801653,0.631199660873251,0.543538767395626
CUMV_14527_Ct_pant,0.494400663625052,0.424813678211311,0.451095461658842,0.398562300319489,0.433070866141732,NA,0.464937170652615,0.498575498575499,0.488557936796222,0.469894736842105,0.614993646759848,0.652464494569758,0.729890310786106,0.852591535901094,0.456580470860672,0.53970893970894,0.8055822906641,0.644484144707459,0.697306541256947,0.724038461538462,0.686567164179104,0.649237472766884,0.666378938282262,0.532305868405453,0.548452768729642,0.580226904376013,0.705426356589147,0.624010004168403
CUMV_14559_Ct_pant,0.382924767540152,0.430308293530178,0.421776729559748,0.424950495049505,0.403950426026336,0.464937170652615,NA,0.422044088176353,0.394163280384189,0.382276281494353,0.561298590346006,0.593884582256675,0.653936822253654,0.758437801350048,0.464441795788637,0.515625,0.826065891472868,0.657496561210454,0.649305555555556,0.626712328767123,0.604522381172127,0.588805641251653,0.604661389621812,0.458781362007168,0.478925619834711,0.505926724137931,0.611728120835184,0.580845771144279
CUMV_14567_Ct_pant,0.443873179091688,0.457841483979764,0.428516228748068,0.408307210031348,0.467704280155642,0.498575498575499,0.422044088176353,NA,0.379322897706589,0.401122625215889,0.591979075850044,0.59453691848058,0.682858477347034,0.804525758305248,0.491452991452991,0.570205479452055,0.861967694566814,0.69529465509365,0.661437908496732,0.694485114690093,0.614162505674081,0.607989464442493,0.642981691368788,0.485136741973841,0.503516756309475,0.525350593311758,0.648492907801419,0.594931449937682
CUMV_14570_Ct_pant,0.377272727272727,0.43244289585753,0.436491228070175,0.410348544735896,0.430294430649166,0.488557936796222,0.394163280384189,0.379322897706589,NA,0.367064255482878,0.552410099464422,0.606613454960091,0.635804997951659,0.745323129251701,0.44196584175671,0.51892505677517,0.821134690342139,0.629362214199759,0.638297872340426,0.68959512407488,0.597063621533442,0.5575256107171,0.621306376360809,0.435772357723577,0.504418262150221,0.516582914572864,0.615832363213038,0.567169811320755
CUMV_1457314504_Ct_pant,0.378754897692643,0.409275101305718,0.421274799493457,0.41,0.414889167712254,0.469894736842105,0.382276281494353,0.401122625215889,0.367064255482878,NA,0.528259902091678,0.537427162707306,0.60184287099903,0.741607324516785,0.441261934412619,0.511111111111111,0.834685598377282,0.627541589648798,0.627938517179023,0.666335156638488,0.58217537134643,0.566452795600367,0.586016559337627,0.402173913043478,0.47313691507799,0.483459082994777,0.615884811890386,0.567901234567901
NA_CCM1889_Ct_pant,0.568101933216169,0.520861989912884,0.537766830870279,0.527379949452401,0.577759197324415,0.614993646759848,0.561298590346006,0.591979075850044,0.552410099464422,0.528259902091678,NA,0.510805500982318,0.56672369546621,0.710299340436327,0.563747454175153,0.546159813809154,1.02148080438757,0.834737827715356,0.546143557735176,0.568079800498753,0.537649880095923,0.52358926919519,0.513827655310621,0.435279187817259,0.485055508112724,0.469508584961516,0.544494108086144,0.67950420540062
NA_CCM2756_Ct_pant,0.571936056838366,0.603747714808044,0.595189563799429,0.583786042624321,0.592153657539845,0.652464494569758,0.593884582256675,0.59453691848058,0.606613454960091,0.537427162707306,0.510805500982318,NA,0.473973762166737,0.651691065118627,0.617349006890961,0.628805620608899,1.19400921658986,0.947468054898249,0.49535192563081,0.525474525474526,0.4688995215311,0.439600363306085,0.431512272367379,0.370440251572327,0.473438164045899,0.46094674556213,0.468425259792166,0.711429813124728
QM_62378_Ct_pant,0.614117647058824,0.661136249371544,0.667410714285714,0.637837837837838,0.650224215246637,0.729890310786106,0.653936822253654,0.682858477347034,0.635804997951659,0.60184287099903,0.56672369546621,0.473973762166737,NA,0.606294864715627,0.652097130242826,0.688393608074012,1.25745526838966,0.970603142422707,0.625183016105417,0.661138750690989,0.53047520661157,0.536742800397219,0.52812908853031,0.416326530612245,0.539925719591458,0.477011494252874,0.566548358473824,0.766007532956685
SAMR_42153_Ct_pant,0.752747252747253,0.801546391752577,0.845609065155807,0.810926365795725,0.764128911723494,0.852591535901094,0.758437801350048,0.804525758305248,0.745323129251701,0.741607324516785,0.710299340436327,0.651691065118627,0.606294864715627,NA,0.821755027422303,0.873684210526316,1.55072463768116,1.22801302931596,0.793659043659044,0.834613112817484,0.690371991247265,0.660020986358867,0.737894736842105,0.542049469964664,0.683880308880309,0.639300134589502,0.697527617043661,0.89634748272458
SAMR_44378_Ct_pant,0.470061099796334,0.428571428571429,0.433421350433799,0.403683806600153,0.432432432432432,0.456580470860672,0.464441795788637,0.491452991452991,0.44196584175671,0.441261934412619,0.563747454175153,0.617349006890961,0.652097130242826,0.821755027422303,NA,0.513643659711075,0.79089219330855,0.587782998718496,0.651028806584362,0.684405367885238,0.605377276669558,0.60896898575021,0.61668731928955,0.4786866359447,0.476227591582229,0.537163943068002,0.62253875157101,0.612529928172386
SAMR_44860_Ct_pant,0.556187144731089,0.483440662373505,0.48599269183922,0.533721898417985,0.503072511265875,0.53970893970894,0.515625,0.570205479452055,0.51892505677517,0.511111111111111,0.546159813809154,0.628805620608899,0.688393608074012,0.873684210526316,0.513643659711075,NA,0.87085201793722,0.662343677628532,0.688191065900044,0.661830915457729,0.6661918328585,0.643730194658216,0.631578947368421,0.503164556962025,0.557675996607294,0.610277136258661,0.671761866452132,0.649847759895607
SAMR_45310_Ct_pant,0.843037974683544,0.735966735966736,0.757122839794489,0.7143536121673,0.774102079395085,0.8055822906641,0.826065891472868,0.861967694566814,0.821134690342139,0.834685598377282,1.02148080438757,1.19400921658986,1.25745526838966,1.55072463768116,0.79089219330855,0.87085201793722,NA,0.642517186673718,1.25091098386257,1.29415204678363,1.25590551181102,1.17687799680341,1.23330197554092,1.05124340617935,1.04017857142857,1.16689655172414,1.20169651272385,0.946231155778894
SAMR_45528_Ct_pant,0.614960991280404,0.59990157480315,0.586475942782835,0.525446428571429,0.569878472222222,0.644484144707459,0.657496561210454,0.69529465509365,0.629362214199759,0.627541589648798,0.834737827715356,0.947468054898249,0.970603142422707,1.22801302931596,0.587782998718496,0.662343677628532,0.642517186673718,NA,1.00481000481,1.02011963023382,0.981208735398679,0.954277286135693,0.942650602409638,0.786279683377309,0.789497510185605,0.935363579863269,1.04160475482912,0.804560260586319
UMMZ_242633_Ct_pant,0.664732142857143,0.65275846082522,0.675,0.648637137989779,0.68046357615894,0.697306541256947,0.649305555555556,0.661437908496732,0.638297872340426,0.627938517179023,0.546143557735176,0.49535192563081,0.625183016105417,0.793659043659044,0.651028806584362,0.688191065900044,1.25091098386257,1.00481000481,NA,0.331635252165053,0.473300970873786,0.42797783933518,0.496548550391164,0.382636655948553,0.507598784194529,0.503256364712848,0.482488479262673,0.683887915936953
UMMZ_242634_Ct_pant,0.699900793650794,0.659939455095863,0.708059981255857,0.687140115163148,0.687823225199812,0.724038461538462,0.626712328767123,0.694485114690093,0.68959512407488,0.666335156638488,0.568079800498753,0.525474525474526,0.661138750690989,0.834613112817484,0.684405367885238,0.661830915457729,1.29415204678363,1.02011963023382,0.331635252165053,NA,0.502185792349727,0.488636363636364,0.48767697954903,0.42876526458616,0.533754249635745,0.475665152498378,0.465104166666667,0.761786600496278
UMMZ_242638_Ct_pant,0.598294647086689,0.607833655705996,0.648541114058355,0.584074733096085,0.587412587412587,0.686567164179104,0.604522381172127,0.614162505674081,0.597063621533442,0.58217537134643,0.537649880095923,0.4688995215311,0.53047520661157,0.690371991247265,0.605377276669558,0.6661918328585,1.25590551181102,0.981208735398679,0.473300970873786,0.502185792349727,NA,0.36350435624395,0.434313725490196,0.331824062095731,0.429026387625114,0.376758409785933,0.445436507936508,0.665444546287809
UMMZ_242639_Ct_pant,0.56945064761054,0.619336758524054,0.599078341013825,0.606387570133794,0.594190516873131,0.649237472766884,0.588805641251653,0.607989464442493,0.5575256107171,0.566452795600367,0.52358926919519,0.439600363306085,0.536742800397219,0.660020986358867,0.60896898575021,0.643730194658216,1.17687799680341,0.954277286135693,0.42797783933518,0.488636363636364,0.36350435624395,NA,0.377464788732394,0.356962025316456,0.450636243966652,0.391074574280681,0.43231850117096,0.665168539325843
WAMR_108704_Ct_pant,0.594739188586714,0.620028076743098,0.661777032690696,0.599154334038055,0.616798997074801,0.666378938282262,0.604661389621812,0.642981691368788,0.621306376360809,0.586016559337627,0.513827655310621,0.431512272367379,0.52812908853031,0.737894736842105,0.61668731928955,0.631578947368421,1.23330197554092,0.942650602409638,0.496548550391164,0.48767697954903,0.434313725490196,0.377464788732394,NA,0.37862202189311,0.483289357959543,0.420738974970203,0.441272430668842,0.701731025299601
WAMR_119962_Ct_pant,0.447072738024837,0.469411764705882,0.436416184971098,0.442477876106195,0.461807580174927,0.532305868405453,0.458781362007168,0.485136741973841,0.435772357723577,0.402173913043478,0.435279187817259,0.370440251572327,0.416326530612245,0.542049469964664,0.4786866359447,0.503164556962025,1.05124340617935,0.786279683377309,0.382636655948553,0.42876526458616,0.331824062095731,0.356962025316456,0.37862202189311,NA,0.319648093841642,0.303884234577304,0.349508196721312,0.561735941320293
WAMR_129885_Ct_pant,0.482902418682235,0.54054054054054,0.483087942697971,0.470899470899471,0.457840819542947,0.548452768729642,0.478925619834711,0.503516756309475,0.504418262150221,0.47313691507799,0.485055508112724,0.473438164045899,0.539925719591458,0.683880308880309,0.476227591582229,0.557675996607294,1.04017857142857,0.789497510185605,0.507598784194529,0.533754249635745,0.429026387625114,0.450636243966652,0.483289357959543,0.319648093841642,NA,0.380605381165919,0.47589833479404,0.578969417679095
WAMR_131057_Ct_pant,0.548071387449626,0.544252873563218,0.524383848977451,0.468684759916493,0.522210743801653,0.580226904376013,0.505926724137931,0.525350593311758,0.516582914572864,0.483459082994777,0.469508584961516,0.46094674556213,0.477011494252874,0.639300134589502,0.537163943068002,0.610277136258661,1.16689655172414,0.935363579863269,0.503256364712848,0.475665152498378,0.376758409785933,0.391074574280681,0.420738974970203,0.303884234577304,0.380605381165919,NA,0.434996919285274,0.66955110870741
WAMR_139092_Ct_pant,0.624148887880163,0.600282485875706,0.625262274443978,0.591801878736123,0.631199660873251,0.705426356589147,0.611728120835184,0.648492907801419,0.615832363213038,0.615884811890386,0.544494108086144,0.468425259792166,0.566548358473824,0.697527617043661,0.62253875157101,0.671761866452132,1.20169651272385,1.04160475482912,0.482488479262673,0.465104166666667,0.445436507936508,0.43231850117096,0.441272430668842,0.349508196721312,0.47589833479404,0.434996919285274,NA,0.687555953446732
WAMR_140704_Ct_pant,0.578924355050284,0.58414526129318,0.600081366965012,0.560390402602684,0.543538767395626,0.624010004168403,0.580845771144279,0.594931449937682,0.567169811320755,0.567901234567901,0.67950420540062,0.711429813124728,0.766007532956685,0.89634748272458,0.612529928172386,0.649847759895607,0.946231155778894,0.804560260586319,0.683887915936953,0.761786600496278,0.665444546287809,0.665168539325843,0.701731025299601,0.561735941320293,0.578969417679095,0.66955110870741,0.687555953446732,NA
